courseCode,courseName,section,location,instructor,day,time
CS2009,Design and Analysis of Algorithms,BCS-5B,E-1 Academic Block I (50),Fahad Sherwani,monday,8:55 - 9:45
SE2002,Software Design and Architecture,BCS-5B,E-1 Academic Block I (50),Ahmed Qaiser (VF),monday,9:50 - 10:40
CS2009,Design and Analysis of Algorithms,BCS-5A,E-1 Academic Block I (50),Muhammad Kashif,monday,11:40 - 12:30
N/A,DBS,BCS-5A,E-1 Academic Block I (50),Hajra Ahmed,monday,12:35 - 1:25
CS3001,Computer Networks,BCS-5A,E-1 Academic Block I (50),Dr. Farrukh Salim,monday,2:25 - 3:15
SE2002,Software Design and Architecture,BCS-5A,E-1 Academic Block I (50),Engr. Abdul Rahman,monday,3:20 - 4:10
CS2009,Design and Analysis of Algorithms,BCS-5C,E-2 Academic Block I (50),Dr. Nasir Uddin,monday,8:00 - 8:50
N/A,DBS,BCS-5C,E-2 Academic Block I (50),Atiya Jokhio,monday,8:55 - 9:45
N/A,DBS,BCS-5B,E-2 Academic Block I (50),Javeria Farooq,monday,11:40 - 12:30
CS2009,Design and Analysis of Algorithms,BCS-5J,E-2 Academic Block I (50),Dr. Fahad Sherwani,monday,2:25 - 3:15
CS3001,Computer Networks,BCS-5D,E-3 Academic Block I (50),Shaheer Khan,monday,8:00 - 8:50
CS2009,Design and Analysis of Algorithms,BCS-5D,E-3 Academic Block I (50),Dr. Nasir Uddin,monday,9:50 - 10:40
CS3001,Computer Networks,BCS-5C,E-3 Academic Block I (50),Dr. Farrukh Salim,monday,10:45 - 11:35
SE2002,Software Design and Architecture,BCS-5C,E-3 Academic Block I (50), Rubab Manzar,monday,11:40 - 12:30
N/A,DBS,BCS-5H,E-3 Academic Block I (50),Javeria Farooq,monday,2:25 - 3:15
CS2009,Design and Analysis of Algorithms,BCS-5E,E-4 Academic Block I (50),Muhammad Kashif,monday,8:55 - 9:45
CS3001,Computer Networks,BCS-5D,E-4 Academic Block I (50),Shaheer Khan,monday,11:40 - 12:30
SE2002,Software Design and Architecture,BCS-5D,E-4 Academic Block I (50),Syed Ahmed Khan,monday,12:35 - 1:25
CS2009,Design and Analysis of Algorithms,BCS-5D,E-4 Academic Block I (50),Dr. Nasir Uddin,monday,2:25 - 3:15
N/A,DBS,BCS-5D,E-4 Academic Block I (50),Basit Jasani,monday,3:20 - 4:10
CS3001,Computer Networks,BCS-5F,E-5 Academic Block I (50),Shaheer Khan,monday,8:55 - 9:45
N/A,DBS,BCS-5E,E-5 Academic Block I (50),Basit Jasani,monday,10:45 - 11:35
N/A,DBS,BCS-5E,E-5 Academic Block I (50),Basit Jasani,monday,11:40 - 12:30
CS3001,Computer Networks,BCS-5E,E-5 Academic Block I (50),Kashan Hussain,monday,12:35 - 1:25
SE2002,Software Design and Architecture,BCS-5E,E-5 Academic Block I (50),Farrukh Hasan Syed,monday,2:25 - 3:15
SE2002,Software Design and Architecture,BCS-5E,E-5 Academic Block I (50),Farrukh Hasan Syed,monday,3:20 - 4:10
CS3001,Computer Networks,BCS-5H,E-6 Academic Block I (50),Dr. Nadeem Kafi,monday,8:00 - 8:50
CS3001,Computer Networks,BCS-5H,E-6 Academic Block I (50),Dr. Nadeem Kafi,monday,8:55 - 9:45
SE2002,Software Design and Architecture,BCS-5H,E-6 Academic Block I (50),Engr. Abdul Rahman,monday,10:45 - 11:35
SE2002,Software Design and Architecture,BCS-5H,E-6 Academic Block I (50),Engr. Abdul Rahman,monday,11:40 - 12:30
CS2009,Design and Analysis of Algorithms,BCS-5H,E-6 Academic Block I (50),Sandesh Kumar,monday,12:35 - 1:25
CS2009,Design and Analysis of Algorithms,BCS-5F,E-6 Academic Block I (50),Sandesh Kumar,monday,1:30 - 2:20
N/A,DBS,BCS-5F,E-6 Academic Block I (50),Hajra Ahmed,monday,2:25 - 3:15
SE2002,Software Design and Architecture,BCS-5F,E-6 Academic Block I (50),Syed Ahmed Khan,monday,3:20 - 4:10
CS3001,Computer Networks,BCS-5J,R-11 Academic Block I (50),Kashan Hussain,monday,8:55 - 9:45
CS2009,Design and Analysis of Algorithms,BCS-5J,R-11 Academic Block I (50),Dr. Fahad Sherwani,monday,9:50 - 10:40
SE2002,Software Design and Architecture,BCS-5J,R-11 Academic Block I (50),Syed Ahmed Khan,monday,10:45 - 11:35
EE2003,Computer Organization and Assembly Language,BCS-3E,R-11 Academic Block I (50),Dr. Rabia Tabassum ,monday,2:25 - 3:15
CS2001,Data Structures,BCS-3A,R-12 Academic Block I (70), Dr. Jawwad Shamsi,monday,8:55 - 9:45
N/A,DBS,BCS-5J,R-12 Academic Block I (70),Dr. Zulfiqar Ali Memon,monday,12:35 - 1:25
N/A,DBS,BCS-5J,R-12 Academic Block I (70),Dr. Zulfiqar Ali Memon,monday,1:30 - 2:20
SS2012,Technical and Business Writing,BCY-5A,R-12 Academic Block I (70),Atifa Batool,monday,2:25 - 3:15
CS3002,Information Security,BCY-5A,R-12 Academic Block I (70),Nouman Rajput,monday,3:20 - 4:10
CS2009,Design and Analysis of Algorithms,BCS-5G,R-109 Academic Block I (50),Zulfiqar Ali,monday,8:00 - 8:50
CS2001,Data Structures,BSE-3B,R-109 Academic Block I (50), Dr. Anam Qureshi,monday,8:55 - 9:45
N/A,DBS,BCS-5G,R-109 Academic Block I (50),Dr. Farrukh Salim,monday,9:50 - 10:40
SE2002,Software Design and Architecture,BCS-5G,R-109 Academic Block I (50),Sobia Iftikhar,monday,10:45 - 11:35
CS2009,Design and Analysis of Algorithms,BSE-5A,R-109 Academic Block I (50),Fizza Mansoor,monday,11:40 - 12:30
CS2009,Design and Analysis of Algorithms,BSE-5A,R-109 Academic Block I (50),Fizza Mansoor,monday,12:35 - 1:25
SE4005,Software Quality Engineering,BSE-5A,R-109 Academic Block I (50),Rubab Manzar,monday,2:25 - 3:15
SS2012,Technical and Business Writing,BSE-5A,R-109 Academic Block I (50),Atifa Batool,monday,3:20 - 4:10
CS2001,Data Structures,BCS-3K,A-1 Academic Block II (50),Mubashra Fayyaz,monday,8:00 - 8:50
CS3005,Theory of Automata,BCS-3K,A-1 Academic Block II (50),Shahar Bano ,monday,8:55 - 9:45
CS2001,Data Structures,BCS-3K,A-1 Academic Block II (50),Mubashra Fayyaz,monday,9:50 - 10:40
CS2001,Data Structures,BCS-3J,A-1 Academic Block II (50),Mubashra Fayyaz ,monday,11:40 - 12:30
EE2003,Computer Organization and Assembly Language,BCS-3H,A-2Academic Block II (50),Shoaib Rauf ,monday,8:00 - 8:50
CS2001,Data Structures,BCS-3H,A-2Academic Block II (50),Fizza Aqeel,monday,8:55 - 9:45
CS2001,Data Structures,BSE-3A,A-2Academic Block II (50), Dr. Anam Qureshi,monday,11:40 - 12:30
SS2012,Technical and Business Writing,BCY-5B,A-3 Academic Block II (50),Atifa Batool,monday,8:55 - 9:45
CS2009,Design and Analysis of Algorithms,BCY-5B,A-3 Academic Block II (50),Zulfiqar Ali,monday,9:50 - 10:40
CS2009,Design and Analysis of Algorithms,BCY-5B,A-3 Academic Block II (50),Zulfiqar Ali,monday,10:45 - 11:35
N/A,Discrete,BCS-3B,A-3 Academic Block II (50),Shoaib Raza,monday,11:40 - 12:30
CY4003,Digital Forensics,BCY-5B,A-3 Academic Block II (50),Dr. Shahbaz Siddiqui,monday,12:35 - 1:25
CS3002,Information Security,BCY-5B,A-3 Academic Block II (50),Nouman Rajput,monday,1:30 - 2:20
N/A,DBS,BCY-5B,A-3 Academic Block II (50),Ali Naseer Shah,monday,2:25 - 3:15
CS2001,Data Structures,BCS-3B,A-3 Academic Block II (50), Fizza Aqeel,monday,3:20 - 4:10
N/A,Reserved Slot,For,A-4 Academic Block II (50),No Teacher,monday,8:00 - 9:00
AI3002,Machine Learning,BSE-5A,A-5 Academic Block II (50),Minhal Raza,monday,8:00 - 8:50
CS4055,System Concept and Design,BSE-5A,A-5 Academic Block II (50),Ali Fatmi,monday,8:55 - 9:45
CS4055,System Concept and Design,BSE-5A,A-5 Academic Block II (50),Ali Fatmi,monday,9:50 - 10:40
N/A,Discrete,BCS-3G,A-5 Academic Block II (50),Shoaib Raza,monday,10:45 - 11:35
CS3005,Theory of Automata,BCS-3G,A-5 Academic Block II (50),Bakhtawar Abbasi,monday,11:40 - 12:30
EE2003,Computer Organization and Assembly Language,BCS-3B,A-5 Academic Block II (50), Atiya Jokhio ,monday,1:30 - 2:20
CS3005,Theory of Automata,BCS-3B,A-5 Academic Block II (50), Ubaidullah,monday,2:25 - 3:15
N/A,IT,in,A-5 Academic Block II (50),  BSFT-1E,monday,3:20 - 4:10
N/A,DBS,BAI-5A,A-6 Academic Block II (50),Ahmed Qaiser (VF),monday,8:00 - 8:50
N/A,KRR,BAI-5A,A-6 Academic Block II (50),Muhammad Rafi,monday,8:55 - 9:45
N/A,DBS,BAI-5A,A-6 Academic Block II (50),Ahmed Qaiser (VF),monday,10:45 - 11:35
CY4003,Digital Forensics,BCY-5A,A-6 Academic Block II (50),Dr. Shahbaz Siddiqui,monday,11:40 - 12:30
CS3002,Information Security,BCY-5A,A-6 Academic Block II (50),Nouman Rajput,monday,12:35 - 1:25
AI3002,Machine Learning,BAI-5A,A-6 Academic Block II (50),Sania Urooj,monday,1:30 - 2:20
SS2012,Technical and Business Writing,BAI-5A,A-6 Academic Block II (50),Nazia Imam,monday,2:25 - 3:15
N/A,Discrete,BCS-3H,A-6 Academic Block II (50),Dr. Ghufran Ahmed,monday,3:20 - 4:10
EE2003,Computer Organization and Assembly Language,BCS-3A,A-7 Academic Block II (50), Aashir Mehboob ,monday,8:00 - 8:50
N/A,BCB,BSBA-5A,A-7 Academic Block II (50),Dr. Shahbaz Siddiqui ,monday,8:55 - 9:45
N/A,Discrete,BCS-3J,A-7 Academic Block II (50),Shoaib Raza,monday,1:30 - 2:20
N/A,Discrete,BCS-3D,A-7 Academic Block II (50),Shoaib Raza,monday,2:25 - 3:15
MT1004,Linear Algebra,BCS-3D,A-7 Academic Block II (50),Urooj,monday,3:20 - 4:10
EE2003,Computer Organization and Assembly Language,BCS-3C,A-8 Academic Block II (53),Dr. Rabia Tabassum ,monday,8:00 - 8:50
EE2003,Computer Organization and Assembly Language,BCS-3E,A-8 Academic Block II (53), Dr. Rabia Tabassum,monday,8:55 - 9:45
N/A,HRM,BSBA-5A,A-8 Academic Block II (53),  Museara Bhutto,monday,10:45 - 11:35
N/A,DS&BA,BSBA-5A,A-8 Academic Block II (53),Ali Fatmi ,monday,11:40 - 12:30
AF1001,Fundamentals of Accounting,BSFT,A-8 Academic Block II (53),Rajib Ali,monday,12:35 - 1:25
CS3005,Theory of Automata,BCS-3D,A-8 Academic Block II (53),Muhammad Kashif,monday,1:30 - 2:20
CS3005,Theory of Automata,BCS-3H,A-8 Academic Block II (53),Bakhtawar Abbasi,monday,2:25 - 3:15
N/A,Discrete,BCS-3E,A-8 Academic Block II (53),Bakhtawar Abbasi,monday,3:20 - 4:10
N/A,BE,BSFT-5A,B-9 Academic Block II (53),Dr. Anwar Mughees,monday,8:00 - 8:50
AF1001,Fundamentals of Accounting,BSFT-1B,B-9 Academic Block II (53),Dr. Mohsin Ali,monday,8:55 - 9:45
