courseCode,courseName,section,location,instructor,day,time
CS2009,Design and Analysis of Algorithms,BCS-5B,E-1 Academic Block I (50),Fahad Sherwani,monday,08:55-09:45
SE2002,Software Design and Architecture,BCS-5B,E-1 Academic Block I (50),Ahmed Qaiser (VF),monday,09:50:-10:40
CS2009,Design and Analysis of Algorithms,BCS-5A,E-1 Academic Block I (50),Muhammad Kashif,monday,11:40-12:30
N/A,DBS,BCS-5A,E-1 Academic Block I (50),Hajra Ahmed,monday,12:35-1:25
CS3001,Computer Networks,BCS-5A,E-1 Academic Block I (50),Dr. Farrukh Salim,monday,2:25-3:15
SE2002,Software Design and Architecture,BCS-5A,E-1 Academic Block I (50),Engr. Abdul Rahman,monday,3:20-4:05
CS2009,Design and Analysis of Algorithms,BCS-5C,E-2 Academic Block I (50),Dr. Nasir Uddin,monday,08:00-8:50
N/A,DBS,BCS-5C,E-2 Academic Block I (50),Atiya Jokhio,monday,08:55-09:45
N/A,DBS,BCS-5B,E-2 Academic Block I (50),Javeria Farooq,monday,11:40-12:30
CS2009,Design and Analysis of Algorithms,BCS-5J,E-2 Academic Block I (50),Dr. Fahad Sherwani,monday,2:25-3:15
CS3001,Computer Networks,BCS-5D,E-3 Academic Block I (50),Shaheer Khan,monday,08:00-8:50
CS2009,Design and Analysis of Algorithms,BCS-5D,E-3 Academic Block I (50),Dr. Nasir Uddin,monday,09:50:-10:40
CS3001,Computer Networks,BCS-5C,E-3 Academic Block I (50),Dr. Farrukh Salim,monday,10:45-11:35
SE2002,Software Design and Architecture,BCS-5C,E-3 Academic Block I (50), Rubab Manzar,monday,11:40-12:30
N/A,DBS,BCS-5H,E-3 Academic Block I (50),Javeria Farooq,monday,2:25-3:15
CS2009,Design and Analysis of Algorithms,BCS-5E,E-4 Academic Block I (50),Muhammad Kashif,monday,08:55-09:45
CS3001,Computer Networks,BCS-5D,E-4 Academic Block I (50),Shaheer Khan,monday,11:40-12:30
SE2002,Software Design and Architecture,BCS-5D,E-4 Academic Block I (50),Syed Ahmed Khan,monday,12:35-1:25
CS2009,Design and Analysis of Algorithms,BCS-5D,E-4 Academic Block I (50),Dr. Nasir Uddin,monday,2:25-3:15
N/A,DBS,BCS-5D,E-4 Academic Block I (50),Basit Jasani,monday,3:20-4:05
CS3001,Computer Networks,BCS-5F,E-5 Academic Block I (50),Shaheer Khan,monday,08:55-09:45
N/A,DBS,BCS-5E,E-5 Academic Block I (50),Basit Jasani,monday,10:45-11:35
N/A,DBS,BCS-5E,E-5 Academic Block I (50),Basit Jasani,monday,11:40-12:30
CS3001,Computer Networks,BCS-5E,E-5 Academic Block I (50),Kashan Hussain,monday,12:35-1:25
SE2002,Software Design and Architecture,BCS-5E,E-5 Academic Block I (50),Farrukh Hasan Syed,monday,2:25-3:15
SE2002,Software Design and Architecture,BCS-5E,E-5 Academic Block I (50),Farrukh Hasan Syed,monday,3:20-4:05
CS3001,Computer Networks,BCS-5H,E-6 Academic Block I (50),Dr. Nadeem Kafi,monday,08:00-8:50
