courseCode,courseName,section,location,instructor,day,time
CS1001,Design and Analysis of Algorithms,BCS-5C,E-1 CS (50), Anaum Hamid,monday,08:00-8:55
CS1002,Software Design and Architecture,BCS-5C,E-1 CS (50), Engr. Abdul Rahman,monday,09:00-09:55
CS1003,Graph Theory,BCS-5B,E-1 CS (50), Dr. Nazish Kanwal,monday,10:00-10:55
CS1004,Database Systems,BCS-5C,E-1 CS (50),Dr. Anam Qureshi,monday,11:00-11:55
CS1005,Database Systems,BCS-5A,E-1 CS (50), Atiya Jokhio,monday,12:00-12:55
CS1006,Software Design and Architecture,BCS-5A,E-1 CS (50), Dr. Imran Ali Bhatti,monday,1:00-01:55
CS1007,Database Systems,BCS-5B,E-1 CS (50), Atiya Jokhio,monday,02:00-02:55
CS1008,Design and Analysis of Algorithms,BCS-5A,E-1 CS (50), Syed Faisal Ali,monday,03:00-03:55
CS1009,Database Systems,BCS-5E,E-2 CS (50), Fizza Aqeel,monday,08:00-8:55
CS1010,Design and Analysis of Algorithms,BCS-5H,E-2 CS (50),  Abu Zhuran,monday,09:00-09:55
CS1011,Design and Analysis of Algorithms,BCS-5E,E-2 CS (50), Abu Zhuran,monday,10:00-10:55
CS1012,Graph Theory,BCS-5E,E-2 CS (50), Urooj,monday,11:00-11:55
CS1013,Parallel and Distributed Computing,BCS-5B,E-2 CS (50), Mubashra Fayyaz,monday,12:00-12:55
CS1014,Parallel and Distributed Computing,BCS-5E,E-2 CS (50), Dr. Nausheen Shoaib,monday,1:00-01:55
CS1015,Software Design and Architecture,BCS-5E,E-2 CS (50), Sobia Iftikhar,monday,02:00-02:55
CS1016,Software Design and Architecture,BCS-5F,E-2 CS (50), Sobia Iftikhar,monday,03:00-03:55
CS1017,Software Design and Architecture,BCS-5G,E-3 CS (50), Syeda Rubab Manzar,monday,09:00-09:55
CS1018,Software Design and Architecture,BCS-5H,E-3 CS (50), Syeda Rubab Manzar,monday,10:00-10:55
CS1019,Design and Analysis of Algorithms,BCS-5D,E-3 CS (50), Syed Faisal Ali,monday,12:00-12:55
CS1020,Parallel and Distributed Computing,BCS-5D,E-3 CS (50), Kashif,monday,1:00-01:55
CS1021,Design and Analysis of Algorithms,BCS-5G,E-3 CS (50), Anaum Hamid,monday,02:00-02:55
CS1022,Design and Analysis of Algorithms,BSE-5B,E-4 CS (50), Minhal Raza,monday,08:00-8:55
CS1023,Data Structures,BCS-3F,E-4 CS (50), Dr. Jawwad Shamsi ,monday,09:00-09:55
CS1024,Graph Theory,BCS-5G,E-4 CS (50), Urooj,monday,10:00-10:55
CS1025,Graph Theory,BCS-5K,E-4 CS (50), Abdul Basit,monday,11:00-11:55
